InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
578317,23499,SET 12 VINTAGE DOILY CHALK ,24,2011-11-23 16:47:00,0.42,15398.0,United Kingdom,10.08,2011-11
569123,84859A,SILVER DISCO HANDBAG,3,2011-09-30 13:09:00,1.95,12748.0,United Kingdom,5.85,2011-09
581404,23398,HANGING HEART BONHEUR,1,2011-12-08 13:47:00,0.85,13680.0,United Kingdom,0.85,2011-12
569246,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-10-03 09:57:00,5.79,14096.0,United Kingdom,5.79,2011-10
539466,47567B,TEA TIME KITCHEN APRON,3,2010-12-19 12:46:00,5.95,12668.0,Germany,17.85,2010-12
578790,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,2011-11-25 12:20:00,0.55,14966.0,United Kingdom,1.1,2011-11
538800,85099F,JUMBO BAG STRAWBERRY,10,2010-12-14 11:51:00,1.95,16458.0,United Kingdom,19.5,2010-12
536973,85061W,WHITE JEWELLED HEART DECORATION,48,2010-12-03 13:43:00,0.85,17787.0,United Kingdom,40.8,2010-12
552978,22355,CHARLOTTE BAG SUKI DESIGN,100,2011-05-12 14:46:00,0.72,12590.0,Germany,72.0,2011-05
554669,22027,TEA PARTY BIRTHDAY CARD,12,2011-05-25 15:31:00,0.42,15203.0,United Kingdom,5.04,2011-05
542386,22808,SET OF 6 T-LIGHTS EASTER CHICKS,6,2011-01-27 14:35:00,2.95,17540.0,United Kingdom,17.700000000000003,2011-01
568215,23504,PLAYING CARDS JUBILEE UNION JACK,48,2011-09-26 08:38:00,1.25,13390.0,United Kingdom,60.0,2011-09
564660,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-08-26 14:45:00,1.45,15074.0,United Kingdom,17.4,2011-08
559358,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,2011-07-07 19:14:00,4.25,15675.0,United Kingdom,17.0,2011-07
548712,22840,ROUND CAKE TIN VINTAGE RED,3,2011-04-03 14:42:00,7.95,17050.0,United Kingdom,23.85,2011-04
571006,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-10-13 12:06:00,1.25,17063.0,United Kingdom,15.0,2011-10
546105,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2011-03-09 12:21:00,2.95,14662.0,United Kingdom,2.95,2011-03
575508,23081,GREEN METAL BOX ARMY SUPPLIES,16,2011-11-10 10:32:00,7.5,14646.0,Netherlands,120.0,2011-11
551193,21576,LETS GO SHOPPING COTTON TOTE BAG,1,2011-04-27 11:05:00,2.25,17954.0,United Kingdom,2.25,2011-04
574481,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-11-04 12:45:00,4.15,18022.0,United Kingdom,8.3,2011-11
561632,22847,BREAD BIN DINER STYLE IVORY,1,2011-07-28 14:30:00,16.95,15639.0,United Kingdom,16.95,2011-07
543989,21217,RED RETROSPOT ROUND CAKE TINS,48,2011-02-15 09:52:00,8.95,12415.0,Australia,429.59999999999997,2011-02
559878,21175,GIN + TONIC DIET METAL SIGN,2,2011-07-13 11:19:00,2.55,15493.0,United Kingdom,5.1,2011-07
539050,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1,2010-12-15 16:21:00,1.25,12577.0,France,1.25,2010-12
544177,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2011-02-16 14:27:00,2.95,13001.0,United Kingdom,17.700000000000003,2011-02
577409,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-11-20 10:53:00,7.08,16779.0,United Kingdom,70.8,2011-11
537650,22314,OFFICE MUG WARMER CHOC+BLUE,6,2010-12-07 15:48:00,2.95,16125.0,United Kingdom,17.700000000000003,2010-12
563369,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011-08-16 09:25:00,0.29,13394.0,United Kingdom,6.959999999999999,2011-08
571192,22178,VICTORIAN GLASS HANGING T-LIGHT,6,2011-10-14 11:55:00,1.95,13050.0,United Kingdom,11.7,2011-10
569533,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,2011-10-04 15:21:00,1.45,16374.0,United Kingdom,1.45,2011-10
545690,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,2011-03-06 12:46:00,1.65,13263.0,United Kingdom,1.65,2011-03
548899,85099B,JUMBO BAG RED RETROSPOT,100,2011-04-04 16:31:00,1.79,15838.0,United Kingdom,179.0,2011-04
547063,22948,METAL DECORATION NAUGHTY CHILDREN ,24,2011-03-20 13:33:00,0.85,14769.0,United Kingdom,20.4,2011-03
538968,22029,SPACEBOY BIRTHDAY CARD,12,2010-12-15 11:34:00,0.42,15384.0,United Kingdom,5.04,2010-12
562218,22418,10 COLOUR SPACEBOY PEN,24,2011-08-03 14:07:00,0.85,13851.0,United Kingdom,20.4,2011-08
544677,35971,ROSE FOLKART HEART DECORATIONS,4,2011-02-22 16:13:00,1.25,18196.0,United Kingdom,5.0,2011-02
556815,22672,FRENCH BATHROOM SIGN BLUE METAL,12,2011-06-15 08:36:00,1.65,14852.0,United Kingdom,19.799999999999997,2011-06
558542,21172,PARTY METAL SIGN ,3,2011-06-30 12:23:00,1.45,13593.0,United Kingdom,4.35,2011-06
556820,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2011-06-15 10:22:00,2.55,12682.0,France,15.299999999999999,2011-06
564330,22897,OVEN MITT APPLES DESIGN,7,2011-08-24 13:57:00,1.45,13411.0,United Kingdom,10.15,2011-08
558761,22630,DOLLY GIRL LUNCH BOX,1,2011-07-03 12:52:00,1.95,15033.0,United Kingdom,1.95,2011-07
537034,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-03 17:20:00,2.55,13081.0,United Kingdom,102.0,2010-12
580126,POST,POSTAGE,3,2011-12-01 17:20:00,18.0,12562.0,France,54.0,2011-12
545220,84678,CLASSICAL ROSE SMALL VASE,6,2011-03-01 08:30:00,2.55,14620.0,United Kingdom,15.299999999999999,2011-03
581473,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,2011-12-08 19:57:00,6.35,12748.0,United Kingdom,6.35,2011-12
576339,84884A,ANT WHITE WIRE HEART SPIRAL,2,2011-11-14 15:27:00,8.29,14096.0,United Kingdom,16.58,2011-11
571036,22601,CHRISTMAS RETROSPOT ANGEL WOOD,14,2011-10-13 12:52:00,0.85,17567.0,United Kingdom,11.9,2011-10
552269,23203,JUMBO BAG DOILEY PATTERNS,1,2011-05-08 11:52:00,2.08,16121.0,United Kingdom,2.08,2011-05
565431,23215,JINGLE BELL HEART ANTIQUE SILVER,2,2011-09-04 13:15:00,2.08,14965.0,United Kingdom,4.16,2011-09
540482,22644,CERAMIC CHERRY CAKE MONEY BANK,1,2011-01-07 15:48:00,1.45,14672.0,United Kingdom,1.45,2011-01
537375,20974,12 PENCILS SMALL TUBE SKULL,6,2010-12-06 12:55:00,0.65,17019.0,United Kingdom,3.9000000000000004,2010-12
569491,20685,DOORMAT RED RETROSPOT,1,2011-10-04 13:25:00,8.25,14056.0,United Kingdom,8.25,2011-10
580119,23008,DOLLY GIRL BABY GIFT SET,1,2011-12-01 16:37:00,16.95,17920.0,United Kingdom,16.95,2011-12
565124,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-09-01 12:09:00,4.95,12436.0,Norway,29.700000000000003,2011-09
571913,22424,ENAMEL BREAD BIN CREAM,2,2011-10-19 15:29:00,12.75,18210.0,United Kingdom,25.5,2011-10
543040,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2011-02-02 17:06:00,0.55,17337.0,United Kingdom,1.1,2011-02
546639,21675,BUTTERFLIES STICKERS,12,2011-03-15 12:54:00,0.85,13971.0,United Kingdom,10.2,2011-03
551471,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-04-28 16:40:00,0.85,16370.0,United Kingdom,0.85,2011-04
564172,23177,TREASURE ISLAND BOOK BOX,3,2011-08-23 14:19:00,2.25,16033.0,United Kingdom,6.75,2011-08
542568,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-01-28 14:53:00,1.25,14215.0,United Kingdom,15.0,2011-01
563755,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,2011-08-19 10:58:00,1.65,17612.0,United Kingdom,19.799999999999997,2011-08
540691,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,18,2011-01-11 08:50:00,1.49,17450.0,United Kingdom,26.82,2011-01
547568,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-03-24 09:50:00,0.55,13341.0,United Kingdom,13.200000000000001,2011-03
540543,21078,SET/20 STRAWBERRY PAPER NAPKINS ,6,2011-01-09 15:23:00,0.85,14395.0,United Kingdom,5.1,2011-01
566562,21503,TOYBOX  WRAP ,25,2011-09-13 12:18:00,0.42,17365.0,United Kingdom,10.5,2011-09
552543,22620,4 TRADITIONAL SPINNING TOPS,12,2011-05-10 10:22:00,1.45,12399.0,Belgium,17.4,2011-05
576377,23543,KEEP CALM WALL ART ,2,2011-11-15 09:12:00,8.25,16341.0,United Kingdom,16.5,2011-11
578674,23409,PHOTO FRAME LINEN AND LACE LARGE,12,2011-11-24 18:05:00,3.29,14088.0,United Kingdom,39.480000000000004,2011-11
542585,21864,UNION JACK FLAG PASSPORT COVER ,3,2011-01-28 15:29:00,2.1,17329.0,United Kingdom,6.300000000000001,2011-01
542789,21495,SKULLS AND CROSSBONES WRAP,25,2011-02-01 10:38:00,0.42,17511.0,United Kingdom,10.5,2011-02
562460,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-08-05 11:19:00,4.95,17841.0,United Kingdom,4.95,2011-08
536846,22469,HEART OF WICKER SMALL,2,2010-12-02 19:59:00,1.65,14573.0,United Kingdom,3.3,2010-12
578420,22835,HOT WATER BOTTLE I AM SO POORLY,2,2011-11-24 11:57:00,4.95,16326.0,United Kingdom,9.9,2011-11
579414,85049C,ROMANTIC PINKS RIBBONS ,2,2011-11-29 12:52:00,1.25,14719.0,United Kingdom,2.5,2011-11
569484,23528,SPACEBOY WALL ART,6,2011-10-04 12:46:00,3.75,14057.0,United Kingdom,22.5,2011-10
549833,48194,DOORMAT HEARTS,6,2011-04-12 13:19:00,7.95,13458.0,United Kingdom,47.7,2011-04
556365,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-06-10 11:44:00,9.95,16370.0,United Kingdom,9.95,2011-06
579196,21932,SCANDINAVIAN PAISLEY PICNIC BAG,1,2011-11-28 15:54:00,2.46,14096.0,United Kingdom,2.46,2011-11
562341,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,2011-08-04 12:13:00,1.65,15005.0,United Kingdom,3.3,2011-08
545474,22350,ILLUSTRATED CAT BOWL ,6,2011-03-03 10:55:00,2.55,16709.0,United Kingdom,15.299999999999999,2011-03
566271,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2011-09-11 13:44:00,0.55,14250.0,United Kingdom,13.200000000000001,2011-09
565738,22349,DOG BOWL CHASING BALL DESIGN,6,2011-09-06 12:30:00,3.75,14667.0,United Kingdom,22.5,2011-09
538035,47591D,PINK FAIRY CAKE CHILDRENS APRON,2,2010-12-09 13:03:00,1.95,16065.0,United Kingdom,3.9,2010-12
572280,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,6,2011-10-23 11:05:00,0.42,16007.0,United Kingdom,2.52,2011-10
551963,21238,RED RETROSPOT CUP,8,2011-05-05 12:52:00,0.85,13266.0,United Kingdom,6.8,2011-05
576364,23127,FELTCRAFT GIRL NICOLE KIT,2,2011-11-14 17:40:00,4.95,15009.0,United Kingdom,9.9,2011-11
573291,23025,DRAWER KNOB VINTAGE GLASS BALL,6,2011-10-28 14:51:00,2.08,16554.0,United Kingdom,12.48,2011-10
542613,85203,HANGING WOOD AND FELT BUTTERFLY ,1,2011-01-30 14:36:00,0.42,17431.0,United Kingdom,0.42,2011-01
550440,POST,POSTAGE,2,2011-04-18 12:25:00,15.0,12407.0,Belgium,30.0,2011-04
548198,84763,ZINC FINISH 15CM PLANTER POTS,1,2011-03-29 16:05:00,1.25,16712.0,United Kingdom,1.25,2011-03
563848,23227,FILIGREE HEART BUTTERFLY WHITE ,24,2011-08-19 14:57:00,1.25,14911.0,EIRE,30.0,2011-08
553842,21244,BLUE POLKADOT PLATE ,16,2011-05-19 12:24:00,1.69,12524.0,Germany,27.04,2011-05
579157,22944,CHRISTMAS METAL POSTCARD WITH BELLS,72,2011-11-28 13:51:00,0.39,15540.0,United Kingdom,28.080000000000002,2011-11
568878,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2011-09-29 12:34:00,4.95,14524.0,United Kingdom,9.9,2011-09
554163,82578,KITCHEN METAL SIGN,2,2011-05-23 11:52:00,0.55,14573.0,United Kingdom,1.1,2011-05
561093,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-07-25 10:01:00,2.1,12540.0,Spain,12.600000000000001,2011-07
553383,22412,METAL SIGN NEIGHBOURHOOD WITCH ,18,2011-05-16 15:48:00,2.1,18230.0,United Kingdom,37.800000000000004,2011-05
571239,21888,BINGO SET,12,2011-10-14 14:54:00,3.75,12744.0,Singapore,45.0,2011-10
566231,23242,TREASURE TIN BUFFALO BILL ,6,2011-09-11 10:58:00,2.08,14837.0,United Kingdom,12.48,2011-09
573002,85017B,ENVELOPE 50 BLOSSOM IMAGES,17,2011-10-27 12:09:00,0.42,14646.0,Netherlands,7.14,2011-10
580188,23503,PLAYING CARDS KEEP CALM & CARRY ON,4,2011-12-02 12:02:00,1.25,16440.0,United Kingdom,5.0,2011-12
564256,51014C,"FEATHER PEN,COAL BLACK",12,2011-08-24 10:45:00,0.39,14796.0,United Kingdom,4.68,2011-08
548711,15056N,EDWARDIAN PARASOL NATURAL,2,2011-04-03 14:24:00,5.95,18116.0,United Kingdom,11.9,2011-04
581587,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-12-09 12:50:00,4.95,12680.0,France,14.850000000000001,2011-12
578946,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,2011-11-27 13:47:00,1.25,16005.0,United Kingdom,1.25,2011-11
544065,62096A,PINK/YELLOW FLOWERS HANDBAG,6,2011-02-15 13:52:00,1.25,14346.0,United Kingdom,7.5,2011-02
541249,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-01-16 13:18:00,8.5,13700.0,United Kingdom,8.5,2011-01
546764,22185,SLATE TILE NATURAL HANGING,12,2011-03-16 14:31:00,1.65,15671.0,United Kingdom,19.799999999999997,2011-03
559141,22663,JUMBO BAG DOLLY GIRL DESIGN,100,2011-07-06 13:56:00,1.79,15311.0,United Kingdom,179.0,2011-07
581193,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,2,2011-12-07 17:05:00,1.25,17097.0,Spain,2.5,2011-12
573772,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-11-01 10:16:00,2.55,17377.0,United Kingdom,2.55,2011-11
577024,21615,4 LAVENDER BOTANICAL DINNER CANDLES,1,2011-11-17 12:47:00,1.25,14704.0,United Kingdom,1.25,2011-11
570244,23465,TUSCAN VILLA FEEDING STATION,2,2011-10-09 16:05:00,8.25,14514.0,United Kingdom,16.5,2011-10
548715,22293,HANGING CHICK GREEN DECORATION,3,2011-04-03 15:22:00,1.45,17758.0,United Kingdom,4.35,2011-04
544074,22913,RED COAT RACK PARIS FASHION,2,2011-02-15 14:49:00,4.95,14156.0,EIRE,9.9,2011-02
562166,21633,SUNFLOWER DECORATIVE PARASOL,1,2011-08-03 12:10:00,12.75,13209.0,United Kingdom,12.75,2011-08
557892,62086A,PINK RETRO BIG FLOWER BAG,4,2011-06-23 14:11:00,1.95,14534.0,United Kingdom,7.8,2011-06
553404,22294,HEART FILIGREE DOVE  SMALL,24,2011-05-17 08:34:00,1.25,14952.0,United Kingdom,30.0,2011-05
547716,22502,PICNIC BASKET WICKER SMALL,4,2011-03-25 08:52:00,5.95,16833.0,United Kingdom,23.8,2011-03
566591,22717,CARD DOG AND BALL ,12,2011-09-13 14:53:00,0.42,16036.0,United Kingdom,5.04,2011-09
561085,23298,SPOTTY BUNTING,12,2011-07-25 09:26:00,4.95,14367.0,United Kingdom,59.400000000000006,2011-07
568727,21169,YOU'RE CONFUSING ME METAL SIGN ,12,2011-09-28 16:38:00,1.69,15796.0,United Kingdom,20.28,2011-09
537057,22256,FELT FARM ANIMAL CHICKEN,3,2010-12-05 11:49:00,1.25,15351.0,United Kingdom,3.75,2010-12
537208,21592,RETROSPOT CIGAR BOX MATCHES ,2,2010-12-05 15:12:00,1.25,15889.0,United Kingdom,2.5,2010-12
552460,20725,LUNCH BAG RED RETROSPOT,10,2011-05-09 14:44:00,1.65,13178.0,United Kingdom,16.5,2011-05
561917,21174,POTTERING IN THE SHED METAL SIGN,1,2011-08-01 11:57:00,2.08,16904.0,United Kingdom,2.08,2011-08
575733,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-11-11 08:33:00,0.42,13810.0,Germany,5.04,2011-11
569686,23391, I LOVE LONDON MINI BACKPACK,4,2011-10-05 14:50:00,4.15,12719.0,France,16.6,2011-10
574749,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-11-07 08:54:00,3.95,15150.0,United Kingdom,15.8,2011-11
574675,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,6,2011-11-06 12:31:00,0.55,17289.0,United Kingdom,3.3000000000000003,2011-11
540835,20725,LUNCH BAG RED RETROSPOT,10,2011-01-11 15:00:00,1.65,12724.0,France,16.5,2011-01
554809,23073,GEORGIAN TRINKET BOX,1,2011-05-26 13:13:00,12.5,16838.0,United Kingdom,12.5,2011-05
579002,22439,6 ROCKET BALLOONS ,10,2011-11-27 16:27:00,0.65,14093.0,United Kingdom,6.5,2011-11
581281,23118,PARISIENNE JEWELLERY DRAWER ,16,2011-12-08 11:36:00,6.65,18109.0,United Kingdom,106.4,2011-12
579196,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2011-11-28 15:54:00,5.79,14096.0,United Kingdom,5.79,2011-11
570101,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-10-07 12:14:00,0.55,14560.0,United Kingdom,13.200000000000001,2011-10
576876,23321,SMALL WHITE HEART OF WICKER,2,2011-11-16 16:42:00,1.65,16804.0,United Kingdom,3.3,2011-11
550035,21937,STRAWBERRY   PICNIC BAG,1,2011-04-14 11:48:00,2.95,15039.0,United Kingdom,2.95,2011-04
552269,22694,WICKER STAR ,4,2011-05-08 11:52:00,2.1,16121.0,United Kingdom,8.4,2011-05
554349,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-05-24 08:49:00,0.55,14191.0,United Kingdom,13.200000000000001,2011-05
545416,85114C,RED ENCHANTED FOREST PLACEMAT,10,2011-03-02 13:35:00,1.65,17770.0,United Kingdom,16.5,2011-03
577483,21014,SWISS CHALET TREE DECORATION ,6,2011-11-20 11:50:00,0.29,14502.0,United Kingdom,1.7399999999999998,2011-11
569220,22151,PLACE SETTING WHITE HEART,24,2011-10-02 13:26:00,0.42,16007.0,United Kingdom,10.08,2011-10
546242,20971,PINK BLUE FELT CRAFT TRINKET BOX,24,2011-03-10 13:07:00,1.25,16743.0,United Kingdom,30.0,2011-03
556578,22029,SPACEBOY BIRTHDAY CARD,12,2011-06-13 14:13:00,0.42,12472.0,Germany,5.04,2011-06
557799,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-06-23 09:53:00,1.25,14854.0,United Kingdom,15.0,2011-06
544941,84228,HEN HOUSE W CHICK STANDING,2,2011-02-25 10:25:00,0.42,12841.0,United Kingdom,0.84,2011-02
552298,22082,RIBBON REEL STRIPES DESIGN ,10,2011-05-08 14:18:00,1.65,14507.0,United Kingdom,16.5,2011-05
554950,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,2011-05-27 14:48:00,1.65,14227.0,United Kingdom,16.5,2011-05
541684,22079,RIBBON REEL HEARTS DESIGN ,25,2011-01-20 15:22:00,1.65,15498.0,United Kingdom,41.25,2011-01
572513,21181,PLEASE ONE PERSON METAL SIGN,1,2011-10-24 14:36:00,2.1,16728.0,United Kingdom,2.1,2011-10
552882,23280,FOLDING MIRROR HOT PINK ,96,2011-05-12 10:10:00,0.72,14646.0,Netherlands,69.12,2011-05
560862,23000,TRAVEL CARD WALLET TRANSPORT,4,2011-07-21 13:48:00,0.42,14085.0,United Kingdom,1.68,2011-07
539653,22380,TOY TIDY SPACEBOY  ,2,2010-12-20 16:50:00,2.1,13564.0,United Kingdom,4.2,2010-12
575969,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2011-11-13 12:47:00,2.08,13571.0,United Kingdom,6.24,2011-11
542716,21621,VINTAGE UNION JACK BUNTING,6,2011-01-31 14:02:00,8.5,16407.0,United Kingdom,51.0,2011-01
567797,22560,TRADITIONAL MODELLING CLAY,24,2011-09-22 11:49:00,1.25,16735.0,United Kingdom,30.0,2011-09
577751,21804,WHITE CHRISTMAS GARLAND STARS TREES,1,2011-11-21 14:34:00,3.75,12904.0,United Kingdom,3.75,2011-11
537852,51008,AFGHAN SLIPPER SOCK PAIR,50,2010-12-08 15:56:00,3.45,17340.0,United Kingdom,172.5,2010-12
541788,84917,WHITE HAND TOWEL WITH BUTTERFLY,20,2011-01-21 13:05:00,1.25,13999.0,United Kingdom,25.0,2011-01
541013,22469,HEART OF WICKER SMALL,12,2011-01-13 11:54:00,1.65,15694.0,United Kingdom,19.799999999999997,2011-01
